STORE_NBR,CITY,STATE,COUNT_DAY,TOTAL_SALES_STORE,TRANSAKSI,RANK_STORE
44,Quito,Pichincha,1679,62087553.25,7273093,1
45,Quito,Pichincha,1679,54498010.42,6201115,2
47,Quito,Pichincha,1679,50948310.06,6535810,3
3,Quito,Pichincha,1679,50481910.19,5366350,4
49,Quito,Pichincha,1679,43420095.78,4574103,5
46,Quito,Pichincha,1679,41896062.12,5990113,6
48,Quito,Pichincha,1679,35933130.27,5107785,7
51,Guayaquil,Guayas,1679,32911489.54,2873614,8
8,Quito,Pichincha,1679,30494286.93,4637971,9
50,Ambato,Tungurahua,1679,28653020.62,4384444,10
11,Cayambe,Pichincha,1679,28325558.48,3972488,11
7,Quito,Pichincha,1679,26952049.58,2995993,12
9,Quito,Pichincha,1679,26409441.06,3516162,13
6,Quito,Pichincha,1679,25183680.00,3065896,14
24,Guayaquil,Guayas,1578,23767732.70,3568206,15
2,Quito,Pichincha,1679,21557388.64,3219901,16
39,Cuenca,Azuay,1679,20252192.53,2389482,17
37,Cuenca,Azuay,1679,19970635.61,2481719,18
27,Daule,Guayas,1679,19188021.38,2485687,19
4,Quito,Pichincha,1679,18909700.38,2519007,20
38,Loja,Loja,1679,18859999.26,2867052,21
40,Machala,El Oro,1679,18395757.41,2181195,22
28,Guayaquil,Guayas,1679,18383154.83,1957594,23
17,Quito,Pichincha,1677,18030969.25,2295485,24
31,Babahoyo,Los Rios,1679,17746872.70,2306044,25
34,Guayaquil,Guayas,1679,17090734.16,3864018,26
43,Esmeraldas,Esmeraldas,1675,16391692.21,2182356,27
5,Santo Domingo,Santo Domingo de los Tsachilas,1679,15592404.57,2347877,28
36,Libertad,Guayas,1553,15322431.10,1738129,29
41,Machala,El Oro,1679,14991039.14,1764146,30
33,Quevedo,Los Rios,1679,14178501.29,1743003,31
1,Quito,Pichincha,1678,14145012.87,2553963,32
18,Quito,Pichincha,1569,13259375.69,2071278,33
19,Guaranda,Bolivar,1679,13049509.84,2107489,34
20,Quito,Pichincha,911,12920954.59,1422539,35
23,Ambato,Tungurahua,1679,11651380.67,1788171,36
15,Ibarra,Imbabura,1679,11451270.02,2209898,37
25,Salinas,Santa Elena,1618,11420997.87,1520362,38
14,Riobamba,Chimborazo,1641,11387918.75,2287850,39
53,Manta,Manabi,1169,11216167.28,1180082,40
54,El Carmen,Manabi,1679,11057483.12,1451290,41
16,Santo Domingo,Santo Domingo de los Tsachilas,1679,10986412.55,1464498,42
12,Latacunga,Cotopaxi,1619,10659217.96,1958852,43
13,Latacunga,Cotopaxi,1679,10523045.82,1572504,44
29,Guayaquil,Guayas,876,9725157.70,981448,45
10,Quito,Pichincha,1679,9613905.74,1652493,46
21,Santo Domingo,Santo Domingo de los Tsachilas,750,9255505.91,842891,47
42,Cuenca,Azuay,722,8945767.89,802646,48
26,Guayaquil,Guayas,1679,7755121.89,1065059,49
35,Playas,Guayas,1679,7676679.42,1123889,50
30,Guayaquil,Guayas,1656,7382073.66,1171130,51
32,Guayaquil,Guayas,1679,5951796.00,1065226,52
22,Puyo,Pastaza,673,4090201.74,504156,53
52,Manta,Manabi,118,2696169.73,275393,54
