STORE_NBR,CITY,STATE,TOTAL_SALES,TOTAL_TRANSAKSI,TOTAL_SALES_STORE,RANK_STORE,CUM_SALES,PCT_PARETO,FLAG_PARETO
44,Quito,Pichincha,62087553.25,7273093,1073644952.17,1,62087553.25,5.78,Top 80
45,Quito,Pichincha,54498010.42,6201115,1073644952.17,2,116585563.67,10.86,Top 80
47,Quito,Pichincha,50948310.06,6535810,1073644952.17,3,167533873.73,15.60,Top 80
3,Quito,Pichincha,50481910.19,5366350,1073644952.17,4,218015783.92,20.31,Top 80
49,Quito,Pichincha,43420095.78,4574103,1073644952.17,5,261435879.70,24.35,Top 80
46,Quito,Pichincha,41896062.12,5990113,1073644952.17,6,303331941.82,28.25,Top 80
48,Quito,Pichincha,35933130.27,5107785,1073644952.17,7,339265072.09,31.60,Top 80
51,Guayaquil,Guayas,32911489.54,2873614,1073644952.17,8,372176561.63,34.66,Top 80
8,Quito,Pichincha,30494286.93,4637971,1073644952.17,9,402670848.56,37.51,Top 80
50,Ambato,Tungurahua,28653020.62,4384444,1073644952.17,10,431323869.18,40.17,Top 80
11,Cayambe,Pichincha,28325558.48,3972488,1073644952.17,11,459649427.66,42.81,Top 80
7,Quito,Pichincha,26952049.58,2995993,1073644952.17,12,486601477.24,45.32,Top 80
9,Quito,Pichincha,26409441.06,3516162,1073644952.17,13,513010918.30,47.78,Top 80
6,Quito,Pichincha,25183680.00,3065896,1073644952.17,14,538194598.30,50.13,Top 80
24,Guayaquil,Guayas,23767732.70,3568206,1073644952.17,15,561962331.00,52.34,Top 80
2,Quito,Pichincha,21557388.64,3219901,1073644952.17,16,583519719.64,54.35,Top 80
39,Cuenca,Azuay,20252192.53,2389482,1073644952.17,17,603771912.17,56.24,Top 80
37,Cuenca,Azuay,19970635.61,2481719,1073644952.17,18,623742547.78,58.10,Top 80
27,Daule,Guayas,19188021.38,2485687,1073644952.17,19,642930569.16,59.88,Top 80
4,Quito,Pichincha,18909700.38,2519007,1073644952.17,20,661840269.54,61.64,Top 80
38,Loja,Loja,18859999.26,2867052,1073644952.17,21,680700268.80,63.40,Top 80
40,Machala,El Oro,18395757.41,2181195,1073644952.17,22,699096026.21,65.11,Top 80
28,Guayaquil,Guayas,18383154.83,1957594,1073644952.17,23,717479181.04,66.83,Top 80
17,Quito,Pichincha,18030969.25,2295485,1073644952.17,24,735510150.29,68.51,Top 80
31,Babahoyo,Los Rios,17746872.70,2306044,1073644952.17,25,753257022.99,70.16,Top 80
34,Guayaquil,Guayas,17090734.16,3864018,1073644952.17,26,770347757.15,71.75,Top 80
43,Esmeraldas,Esmeraldas,16391692.21,2182356,1073644952.17,27,786739449.36,73.28,Top 80
5,Santo Domingo,Santo Domingo de los Tsachilas,15592404.57,2347877,1073644952.17,28,802331853.93,74.73,Top 80
36,Libertad,Guayas,15322431.10,1738129,1073644952.17,29,817654285.03,76.16,Top 80
41,Machala,El Oro,14991039.14,1764146,1073644952.17,30,832645324.17,77.55,Top 80
33,Quevedo,Los Rios,14178501.29,1743003,1073644952.17,31,846823825.46,78.87,Top 80
1,Quito,Pichincha,14145012.87,2553963,1073644952.17,32,860968838.33,80.19,Remaining 20%
18,Quito,Pichincha,13259375.69,2071278,1073644952.17,33,874228214.02,81.43,Remaining 20%
19,Guaranda,Bolivar,13049509.84,2107489,1073644952.17,34,887277723.86,82.64,Remaining 20%
20,Quito,Pichincha,12920954.59,1422539,1073644952.17,35,900198678.45,83.85,Remaining 20%
23,Ambato,Tungurahua,11651380.67,1788171,1073644952.17,36,911850059.12,84.93,Remaining 20%
15,Ibarra,Imbabura,11451270.02,2209898,1073644952.17,37,923301329.14,86.00,Remaining 20%
25,Salinas,Santa Elena,11420997.87,1520362,1073644952.17,38,934722327.01,87.06,Remaining 20%
14,Riobamba,Chimborazo,11387918.75,2287850,1073644952.17,39,946110245.76,88.12,Remaining 20%
53,Manta,Manabi,11216167.28,1180082,1073644952.17,40,957326413.04,89.17,Remaining 20%
54,El Carmen,Manabi,11057483.12,1451290,1073644952.17,41,968383896.16,90.20,Remaining 20%
16,Santo Domingo,Santo Domingo de los Tsachilas,10986412.55,1464498,1073644952.17,42,979370308.71,91.22,Remaining 20%
12,Latacunga,Cotopaxi,10659217.96,1958852,1073644952.17,43,990029526.67,92.21,Remaining 20%
13,Latacunga,Cotopaxi,10523045.82,1572504,1073644952.17,44,1000552572.49,93.19,Remaining 20%
29,Guayaquil,Guayas,9725157.70,981448,1073644952.17,45,1010277730.19,94.10,Remaining 20%
10,Quito,Pichincha,9613905.74,1652493,1073644952.17,46,1019891635.93,94.99,Remaining 20%
21,Santo Domingo,Santo Domingo de los Tsachilas,9255505.91,842891,1073644952.17,47,1029147141.84,95.86,Remaining 20%
42,Cuenca,Azuay,8945767.89,802646,1073644952.17,48,1038092909.73,96.69,Remaining 20%
26,Guayaquil,Guayas,7755121.89,1065059,1073644952.17,49,1045848031.62,97.41,Remaining 20%
35,Playas,Guayas,7676679.42,1123889,1073644952.17,50,1053524711.04,98.13,Remaining 20%
30,Guayaquil,Guayas,7382073.66,1171130,1073644952.17,51,1060906784.70,98.81,Remaining 20%
32,Guayaquil,Guayas,5951796.00,1065226,1073644952.17,52,1066858580.70,99.37,Remaining 20%
22,Puyo,Pastaza,4090201.74,504156,1073644952.17,53,1070948782.44,99.75,Remaining 20%
52,Manta,Manabi,2696169.73,275393,1073644952.17,54,1073644952.17,100.00,Remaining 20%
